[2025-10-25 11:41:35:078] [11:41:34] 正在启动游戏客户端控制器...
[2025-10-25 11:41:35:079] [11:41:34] 游戏控制台启动完成...

[2025-10-25 11:41:41:971] [11:41:41] 正在启动数据库服务器...
[2025-10-25 11:41:43:828] [11:41:43] 数据库服务器启动完成...

[2025-10-25 11:41:44:816] [11:41:44] 正在启动游戏主程序...

[2025-10-25 11:41:54:260] [11:41:53] 游戏主程序启动完成...
[2025-10-25 11:41:54:383] [11:41:54] 正在启动游戏网关[7001]...
[2025-10-25 11:41:54:386] [11:41:54] 游戏网关启动完成[7001]...
[2025-10-25 11:41:54:768] [11:41:54] 正在启动登录网关[7000]...

[2025-10-25 22:07:53:667] [22:07:53] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:55:743] [22:07:55] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:07:57:712] [22:07:57] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:07:59:675] [22:07:59] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:01:754] [22:08:01] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:03:726] [22:08:03] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:05:810] [22:08:05] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:07:769] [22:08:07] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:09:845] [22:08:09] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:11:812] [22:08:11] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:13:797] [22:08:13] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:15:870] [22:08:15] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:17:838] [22:08:17] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:19:914] [22:08:19] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:21:874] [22:08:21] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:23:963] [22:08:23] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:25:942] [22:08:25] RunGate(466374, 7001) Connect Fail
[2025-10-25 22:08:27:915] [22:08:27] RunGate(466374, 7001) Connect Fail

[2025-10-25 22:08:29:983] [22:08:29] RunGate(466374, 7001) Connect Fail
